City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Opuwo,99,NA,1610939061,64,-18.0607,13.84,64.49,2.68
Vaini,75,TO,1610939022,74,-21.2,-175.2,87.8,12.66
Bururi Province,100,BI,1610939242,91,-3.85,29.6333,57.47,1.45
Atuona,71,PF,1610939020,78,-9.8,-139.0333,78.82,15.93
Bethel,90,US,1610939036,56,41.3712,-73.414,39.2,9.22
Bagdarin,69,RU,1610939243,71,54.4333,113.6,-23.46,1.52
Sakaiminato,40,JP,1610939243,87,35.55,133.2333,39.2,14.97
Butaritari,42,KI,1610939025,77,3.0707,172.7902,80.69,18.57
Noumea,90,NC,1610939030,79,-22.2763,166.4572,87.01,6.91
Tautira,40,PF,1610939243,66,-17.7333,-149.15,86.0,14.97
Mpongwe,100,ZM,1610939243,98,-13.5091,28.155,64.58,4.56
Tarpon Springs,100,US,1610938949,71,28.1461,-82.7568,55.0,1.5
Santa Fe,0,AR,1610939047,62,-31.6333,-60.7,69.01,1.99
Ancud,0,CL,1610939052,94,-41.8697,-73.8203,55.99,2.3
Eureka,100,US,1610938803,87,40.8021,-124.1637,52.0,10.69
Hede,0,CN,1610939245,56,33.7681,120.2517,42.94,12.17
Kirakira,72,SB,1610939245,67,-10.4544,161.9205,86.85,8.95
Longyearbyen,75,SJ,1610938965,67,78.2186,15.6401,17.6,27.63
Sitka,90,US,1610939021,93,57.0531,-135.33,39.2,6.91
Vila Franca do Campo,40,PT,1610939245,94,37.7167,-25.4333,61.0,21.85
Oranjemund,0,NA,1610939023,92,-28.55,16.4333,61.23,2.21
Yellowknife,90,CA,1610939013,85,62.456,-114.3525,1.4,5.75
Tiarei,40,PF,1610939246,66,-17.5333,-149.3333,86.0,14.97
Irtyshskiy,18,RU,1610939246,89,58.3333,68.1333,-13.4,8.23
Mount Isa,31,AU,1610938857,17,-20.7333,139.5,95.0,10.36
Maceió,0,BR,1610939029,83,-9.6658,-35.7353,75.2,3.44
Genhe,0,CN,1610939065,74,50.7833,121.5167,-17.63,3.62
Severnoye,100,RU,1610939246,95,56.3491,78.3619,10.06,13.27
Kasongo-Lunda,100,CD,1610939247,80,-6.4667,16.8167,67.59,1.07
Camacha,75,PT,1610939247,67,33.0833,-16.3333,57.2,2.3
Avera,1,US,1610939029,93,33.194,-82.5271,41.0,8.32
Salihorsk,2,BY,1610939247,91,52.7876,27.5415,-8.1,6.08
Provideniya,90,RU,1610939068,72,64.3833,-173.3,3.2,11.18
San Quintín,0,MX,1610939247,50,30.4833,-115.95,63.21,1.97
São Filipe,0,CV,1610939036,72,14.8961,-24.4956,71.85,6.6
Maicao,22,CO,1610939247,81,11.3832,-72.2432,76.21,9.44
Katsuura,75,JP,1610939024,65,35.1333,140.3,46.99,8.05
Port Elizabeth,75,ZA,1610939021,82,-33.918,25.5701,66.2,3.44
Touros,20,BR,1610939033,83,-5.1989,-35.4608,75.2,3.44
Cherskiy,100,RU,1610939018,83,68.75,161.3,-33.14,1.86
Luxor,0,EG,1610939249,61,25.6989,32.6421,48.2,2.3
Bāglung,0,NP,1610939249,38,28.2719,83.5898,59.02,1.97
Port Alfred,74,ZA,1610938933,88,-33.5906,26.891,64.99,6.4
Hualmay,100,PE,1610939089,85,-11.0964,-77.6139,69.76,5.68
New Norfolk,40,AU,1610939021,43,-42.7826,147.0587,69.8,25.32
Alanya,0,TR,1610939249,75,36.5438,31.9998,41.0,5.75
Tete,75,MZ,1610939250,94,-16.1564,33.5867,77.0,3.44
Katherine,75,AU,1610939081,58,-14.4667,132.2667,87.8,16.11
Iqaluit,1,CA,1610939065,64,63.7506,-68.5145,-14.01,3.51
Saint-Ambroise,100,CA,1610939250,93,48.5501,-71.3324,30.0,17.27
Fort Morgan,90,US,1610938829,38,40.2503,-103.8,39.2,4.61
Ashland,90,US,1610939142,93,40.8167,-82.2665,30.2,9.22
College,40,US,1610939085,78,64.8569,-147.8028,1.4,2.77
Camaná,52,PE,1610939250,76,-16.6228,-72.7111,70.66,5.7
Kaitangata,100,NZ,1610939022,70,-46.2817,169.8464,55.0,3.0
Oddur,46,SO,1610939251,79,4.1213,43.8894,66.6,13.56
Yulara,0,AU,1610939014,10,-25.2406,130.9889,86.0,16.11
Cabo San Lucas,1,MX,1610939047,77,22.8909,-109.9124,66.2,5.75
Avarua,20,CK,1610939017,70,-21.2078,-159.775,84.2,8.05
Ahipara,7,NZ,1610939040,57,-35.1667,173.1667,68.99,10.85
Bambous Virieux,75,MU,1610939024,83,-20.3428,57.7575,81.0,11.5
Bundaberg,75,AU,1610939251,58,-24.85,152.35,87.01,12.66
Antalaha,100,MG,1610939252,88,-14.9003,50.2788,76.01,4.47
Ilhabela,87,BR,1610939252,81,-23.7781,-45.3581,76.93,3.85
Aktau,90,KZ,1610939022,93,43.65,51.2,39.2,15.66
George Town,20,MY,1610938773,61,5.4112,100.3354,82.4,9.22
Riyadh,0,SA,1610938908,33,24.6877,46.7219,57.2,3.13
Beringovskiy,3,RU,1610939051,87,63.05,179.3167,-14.91,9.8
East London,68,ZA,1610939039,72,-33.0153,27.9116,68.85,4.99
Havøysund,75,NO,1610939104,93,70.9963,24.6622,33.8,3.44
Bilma,61,NE,1610939253,32,18.6853,12.9164,57.27,14.52
Khovd,2,MN,1610939253,78,48.0056,91.6419,2.52,1.5
Farnes,95,NO,1610939254,90,61.3167,7.8,19.17,2.39
Araouane,72,ML,1610939067,30,18.9048,-3.5265,58.68,12.91
Lebu,0,CL,1610939014,84,-37.6167,-73.65,56.44,19.73
Brae,75,GB,1610938990,75,60.3964,-1.353,42.8,18.41
Tianmen,0,CN,1610939254,52,30.6516,113.1603,47.53,9.19
Kouroussa,58,GN,1610939254,26,10.65,-9.8833,64.51,4.12
Mongu,100,ZM,1610939254,78,-15.2484,23.1274,67.82,3.65
Ponta do Sol,98,PT,1610939034,61,32.6667,-17.1,55.0,1.99
Cidreira,100,BR,1610938986,91,-30.1811,-50.2056,72.97,13.78
St. George's,40,GD,1610939255,88,12.0564,-61.7485,77.0,12.66
Shankargarh,2,IN,1610939255,57,25.1833,81.6167,57.11,4.56
Okato,18,NZ,1610939255,52,-39.2,173.8833,66.99,8.99
Talakan,99,RU,1610939255,86,50.3167,130.3667,-6.63,4.09
Henties Bay,59,NA,1610939093,87,-22.116,14.2845,66.0,4.16
Muyezerskiy,59,RU,1610939256,96,63.9333,31.65,11.95,7.38
Qaanaaq,0,GL,1610939029,72,77.484,-69.3632,-1.84,5.77
Ostrovnoy,100,RU,1610939023,95,68.0531,39.5131,15.44,20.69
Mersing,20,MY,1610939257,69,2.4312,103.8405,80.6,13.8
Salalah,0,OM,1610939181,23,17.0151,54.0924,62.6,3.44
Cockburn Town,100,TC,1610939090,81,21.4612,-71.1419,78.13,14.83
Deputatsky,85,RU,1610939055,85,69.3,139.9,-36.9,1.61
Zemio,99,CF,1610939258,38,5.0314,25.1361,62.74,0.6
Esperance,0,AU,1610939034,43,-33.8667,121.9,75.2,10.36
Sabha,0,LY,1610939052,67,27.0377,14.4283,41.56,5.39
Yumen,0,CN,1610939259,77,40.2833,97.2,19.98,16.4
Castro,100,BR,1610938847,96,-24.7911,-50.0119,65.07,7.54
Gizo Government Station,14,SB,1610939259,72,-8.103,156.8419,85.6,10.63
Yangi Marg`ilon,99,UZ,1610939029,74,40.4272,71.7189,30.2,4.61
Las Rozas de Madrid,0,ES,1610939163,86,40.4929,-3.8737,37.99,2.62
Celestún,99,MX,1610939260,67,20.8667,-90.4,67.91,10.87
Dukat,100,RU,1610939260,82,62.55,155.55,-32.26,5.82
Constitución,0,CL,1610938856,66,-35.3333,-72.4167,61.74,10.65
Tilichiki,100,RU,1610939048,85,60.4667,166.1,-13.83,16.26
Valle de Allende,0,MX,1610939260,39,26.9333,-105.4,49.14,3.47
Nelson Bay,20,AU,1610939055,42,-32.7167,152.15,84.99,4.61
Itoman,75,JP,1610939260,59,26.1247,127.6694,60.8,14.97
Pacific Grove,1,US,1610939261,62,36.6177,-121.9166,59.0,5.06
Nemuro,40,JP,1610939092,79,43.3236,145.575,19.4,8.05
Kikwit,94,CD,1610939094,95,-5.041,18.8162,70.47,0.81
Bonfim,65,BR,1610939261,68,3.0833,-59.95,78.93,10.07
Poum,59,NC,1610939079,79,-20.2333,164.0167,82.71,11.12
Flinders,0,AU,1610939261,70,-34.5833,150.8552,78.01,5.01
Codrington,81,AU,1610939015,68,-38.2667,141.9667,63.03,16.17
Verāval,6,IN,1610939181,51,20.9,70.3667,67.44,8.97
Esqueda,0,MX,1610939262,38,30.7167,-109.5833,51.53,1.19
Indramayu,100,ID,1610939262,74,-6.3264,108.32,83.52,18.63
Airai,100,TL,1610939059,86,-8.9266,125.4092,70.27,1.01
Turaif,40,SA,1610939263,87,31.6725,38.6637,44.6,9.22
Saskylakh,71,RU,1610939015,84,71.9167,114.0833,-28.52,6.33
Haimen,0,CN,1610939263,41,23.1935,116.6142,55.4,6.71
Moose Factory,1,CA,1610939263,85,51.2585,-80.6094,3.2,6.91
Asău,90,RO,1610939050,93,46.4333,26.4,19.4,6.91
Naze,75,JP,1610939064,67,28.3667,129.4833,55.4,6.91
Banda Aceh,100,ID,1610939026,79,5.5577,95.3222,80.83,15.17
Churapcha,67,RU,1610939264,76,62.0025,132.4325,-47.34,3.47
Port Hardy,40,CA,1610939039,100,50.6996,-127.4199,46.4,2.3
Lompoc,0,US,1610938755,55,34.6391,-120.4579,62.01,4.61
Fernley,16,US,1610939117,56,39.608,-119.2518,45.0,3.0
Mehamn,100,NO,1610939067,92,71.0357,27.8492,33.37,15.23
Bathsheba,75,BB,1610939066,78,13.2167,-59.5167,78.8,21.85
Los Llanos de Aridane,90,ES,1610939035,59,28.6585,-17.9182,64.4,5.75
Roald,20,NO,1610939265,65,62.5833,6.1333,39.2,5.75
Sambava,73,MG,1610939265,89,-14.2667,50.1667,76.39,5.12
Sinnamary,82,GF,1610939088,86,5.3833,-52.95,77.79,11.52
Letpadan,1,MM,1610939265,58,17.7833,95.75,74.41,4.29
Iracoubo,89,GF,1610939265,87,5.4802,-53.2011,77.61,11.41
Tiksi,100,RU,1610939028,87,71.6872,128.8694,-22.16,7.36
San Patricio,20,US,1610939081,76,28.017,-97.5169,60.8,8.05
Belomorsk,100,RU,1610939266,96,64.5232,34.7668,14.05,5.91
Bredasdorp,58,ZA,1610939030,77,-34.5322,20.0403,66.2,10.36
Oistins,75,BB,1610939266,78,13.0667,-59.5333,78.8,21.85
Bereket,0,TM,1610939266,76,39.2446,55.5154,42.39,2.1
The Valley,75,AI,1610939266,78,18.217,-63.0578,78.8,9.22
Kumul,0,CN,1610939037,71,42.8,93.45,20.21,0.43
Portland,90,US,1610939124,93,45.5234,-122.6762,46.4,0.6
Antofagasta,0,CL,1610939147,82,-23.65,-70.4,64.4,4.61
Iwanai,99,JP,1610939267,84,42.9744,140.5089,23.95,9.22
Fortuna,1,US,1610938915,100,40.5982,-124.1573,52.0,5.75
Itarema,100,BR,1610939267,80,-2.9248,-39.9167,79.07,10.56
Kavieng,23,PG,1610939020,66,-2.5744,150.7967,86.29,16.75
Saint-Philippe,0,RE,1610939022,65,-21.3585,55.7679,78.8,3.44
Santa Rosa,40,PH,1610939267,74,14.3122,121.1114,82.4,4.61
Nísia Floresta,20,BR,1610939267,83,-6.0911,-35.2086,78.8,3.44
Tucumã,68,BR,1610939268,87,-0.1833,-50.05,76.66,5.86
Warren,90,US,1610939268,93,39.4334,-84.1666,30.99,6.91
Moerai,100,PF,1610939268,69,-22.4333,-151.3333,81.48,7.54
Jiangyou,0,CN,1610939268,55,31.7667,104.7167,42.82,3.29
Tezu,0,IN,1610939268,28,27.9167,96.1667,74.39,1.03
Ayan,5,RU,1610939268,73,56.45,138.1667,-24.25,12.06
Haines Junction,14,CA,1610939057,56,60.7522,-137.5108,39.2,8.05
Çay,54,TR,1610939269,91,38.5917,31.0286,19.62,3.71
Borba,100,BR,1610939269,75,-4.3878,-59.5939,77.22,1.48
Auki,10,SB,1610939106,70,-8.7676,160.7034,85.48,5.32
Kungurtug,16,RU,1610939269,86,50.5994,97.5228,3.69,0.81
Vao,93,NC,1610939044,82,-22.6667,167.4833,78.08,12.41
Tucupita,88,VE,1610939269,96,9.0622,-62.051,70.12,2.95
Carlsbad,1,US,1610939270,24,33.1581,-117.3506,66.2,3.44
Geraldton,75,AU,1610939020,38,-28.7667,114.6,91.4,10.36
Chowchilla,1,US,1610939270,62,37.123,-120.2602,59.0,5.28
Edendale,99,ZA,1610939270,96,-29.6528,30.3147,64.99,0.6
Bay Roberts,100,CA,1610939270,96,47.5999,-53.2648,37.0,11.14
Fergus Falls,90,US,1610939271,93,46.283,-96.0776,21.2,10.36
Arman',100,RU,1610939038,88,59.7,150.1667,-11.22,16.11
Arcata,20,US,1610938982,82,40.8665,-124.0828,52.0,4.61
Mabaruma,99,GY,1610938991,94,8.2,-59.7833,71.69,3.27
Kyshtovka,99,RU,1610939271,94,56.555,76.6271,9.01,12.91
Ussel,100,FR,1610939271,46,45.55,2.3167,34.0,0.63
Sena Madureira,100,BR,1610939271,93,-9.0656,-68.6569,75.25,2.24
Rānāpur,0,IN,1610939272,52,22.65,74.5333,71.55,4.23
Hamilton,90,US,1610939112,86,39.1834,-84.5333,32.0,10.36
Bariloche,0,AR,1610938827,55,-41.1456,-71.3082,60.8,9.22
Orlik,0,RU,1610939272,85,52.5178,99.825,5.43,3.65
Saint George,1,US,1610939018,29,37.1041,-113.5841,48.0,1.97
Tanga,89,TZ,1610939272,84,-5.0667,39.1,77.59,8.39
Anuchino,100,RU,1610939272,85,43.9622,133.0544,9.84,10.13
Baião,96,BR,1610939273,96,-2.7906,-49.6717,73.15,1.48
Hillsborough,1,US,1610939273,67,37.5741,-122.3794,61.0,6.91
Upernavik,100,GL,1610939031,94,72.7868,-56.1549,14.95,9.91
Alta Floresta,100,BR,1610939273,97,-9.8756,-56.0861,71.01,1.9
Port Macquarie,98,AU,1610939018,64,-31.4333,152.9167,81.0,1.01
Sebastian,1,US,1610939273,56,35.1668,-94.2669,37.4,5.75
Pierre,90,US,1610939274,69,44.3683,-100.351,28.4,4.61
Chuguyevka,100,RU,1610939274,90,44.1653,133.8633,9.52,7.36
Gandia,0,ES,1610939274,5,38.9667,-0.1833,50.0,5.95
Victor Harbor,85,AU,1610939274,77,-35.5667,138.6167,73.99,5.01
Vila Velha,40,BR,1610938776,83,-20.3297,-40.2925,77.0,5.75
Los Andes,0,CL,1610939274,37,-32.8337,-70.5983,71.6,8.05
Tranås,90,SE,1610939274,86,58.0372,14.9782,28.4,6.91
Vardø,100,NO,1610939044,93,70.3705,31.1107,33.49,10.65
Ambikāpur,0,IN,1610939275,30,23.1167,83.2,63.14,2.35
Vanimo,100,PG,1610939071,69,-2.6741,141.3028,85.15,8.28
Biloela,1,AU,1610939275,37,-24.4167,150.5,92.23,13.51
Namasuba,99,UG,1610939275,82,0.6894,32.4214,64.33,1.5
Corn Island,22,NI,1610939275,79,12.1694,-83.0418,80.46,13.38
Huarmey,98,PE,1610939045,82,-10.0681,-78.1522,69.98,6.58
São João da Barra,0,BR,1610939061,84,-21.6403,-41.0511,75.42,17.27
Kloulklubed,90,PW,1610939276,83,7.0419,134.2556,80.6,9.22
Comodoro Rivadavia,0,AR,1610939276,35,-45.8667,-67.5,75.2,25.32
Jacobina,32,BR,1610939241,77,-11.1806,-40.5183,65.68,4.76
Norsup,17,VU,1610939276,70,-16.0667,167.3833,86.29,9.04
Manta,75,EC,1610939050,78,-0.95,-80.7333,78.8,4.61
Guerrero Negro,0,MX,1610939068,40,27.9769,-114.0611,64.35,7.63
Vitim,95,RU,1610939090,75,59.4511,112.5578,-33.5,1.19
Sabang,66,ID,1610939277,76,5.8933,95.3214,81.91,25.93
Carroll,97,US,1610939277,68,39.5501,-77.0164,37.99,4.14
Mar del Plata,0,AR,1610939030,88,-38.0023,-57.5575,60.01,4.61
Thurso,96,GB,1610939278,87,58.5927,-3.5259,35.6,14.97
Sovetskiy,43,RU,1610939049,87,61.3614,63.5842,-17.46,7.36
Pangnirtung,0,CA,1610939053,77,66.1451,-65.7125,-17.23,2.51
Saint-Louis,97,SN,1610939278,20,16.3333,-15.0,69.49,12.19
Korop,98,UA,1610939278,94,51.5664,32.9586,5.52,4.05
Chake Chake,99,TZ,1610939278,88,-5.2459,39.7666,76.33,6.93
Coahuayana Viejo,52,MX,1610939279,89,18.7333,-103.6833,71.85,2.66
Rochegda,100,RU,1610939279,96,62.8,43.25,8.98,2.93
Lakatoro,17,VU,1610939279,69,-16.0999,167.4164,86.31,8.79
Broken Hill,0,AU,1610939064,23,-31.95,141.4333,77.0,12.66
Al Bardīyah,0,LY,1610939279,64,31.7561,25.0865,50.23,17.18
Hammerfest,75,NO,1610939030,93,70.6634,23.6821,33.8,3.44
Chapleau,75,CA,1610939280,78,47.8405,-83.4034,6.8,6.91
Leshukonskoye,42,RU,1610939280,90,64.8989,45.7622,-10.08,3.69
Leh,91,IN,1610939280,69,34.1667,77.5833,13.33,1.36
Thompson,75,CA,1610939028,84,55.7435,-97.8558,-13.0,2.3
Belyy Yar,83,RU,1610939105,85,53.6039,91.3903,10.4,2.24
Half Moon Bay,1,US,1610939280,67,37.4636,-122.4286,61.0,6.91
Alofi,75,NU,1610939280,66,-19.0595,-169.9187,87.8,10.36
Alugan,100,PH,1610939281,87,12.2188,125.4808,78.75,14.65
Cam Ranh,20,VN,1610939281,53,11.9214,109.1591,77.0,24.16
Puerto Escondido,40,MX,1610939056,83,15.85,-97.0667,77.0,3.2
Oranjestad,20,AW,1610939125,73,12.524,-70.027,78.8,11.5
Evensk,31,RU,1610939043,79,61.95,159.2333,-1.1,20.62
Dongsheng,0,CN,1610939281,64,39.8161,109.9776,22.6,8.03
Örnsköldsvik,4,SE,1610939282,84,63.2909,18.7153,-5.8,4.61
Viedma,0,AR,1610939062,49,-40.8135,-62.9967,63.84,9.95
Okhotsk,93,RU,1610939104,75,59.3833,143.3,-16.74,19.98
Helong,95,CN,1610939282,76,42.5397,128.9972,5.85,14.34
Lagoa,39,PT,1610939040,81,39.05,-27.9833,61.66,28.5
Tsagan Aman,100,RU,1610939282,91,47.5639,46.7218,19.65,14.88
Chicama,93,PE,1610939282,76,-7.8447,-79.1469,71.44,5.7
Itaporanga,97,BR,1610939283,67,-7.3044,-38.1503,76.95,5.99
Srednekolymsk,52,RU,1610939073,81,67.45,153.6833,-40.34,3.2
Mmathubudukwane,96,BW,1610939283,78,-24.6,26.4333,71.22,10.47
Beidao,0,CN,1610939044,66,34.5686,105.8933,35.91,2.71
Atlantic Beach,1,US,1610939283,62,30.3344,-81.3987,51.8,8.05
Souillac,75,MU,1610939024,83,-20.5167,57.5167,78.8,11.5
Whitehorse,75,CA,1610939283,80,60.7161,-135.0538,30.2,17.27
Nanortalik,100,GL,1610939078,91,60.1432,-45.2371,27.03,5.1
Caravelas,0,BR,1610939021,88,-17.7125,-39.2481,73.53,3.62
Te Anau,100,NZ,1610939045,91,-45.4167,167.7167,43.7,4.09
Kedrovyy,0,RU,1610939285,63,56.1667,91.8167,19.4,6.71
Jämsä,75,FI,1610939285,93,61.8642,25.19,17.6,4.61
Khatanga,0,RU,1610939026,81,71.9667,102.5,-25.64,14.36
Santa Cruz del Sur,100,CU,1610939285,86,20.7147,-77.9956,71.8,8.7
Kruisfontein,67,ZA,1610939052,75,-34.0033,24.7314,68.0,1.99
Bonavista,100,CA,1610939286,100,48.6499,-53.1147,39.0,4.61
Ndjolé,99,GA,1610939286,95,-0.1783,10.7649,73.56,0.63
Assiut,0,EG,1610939286,57,27.181,31.1837,48.2,11.5
Kisanga,67,TZ,1610939286,91,-7.4362,37.7034,72.88,0.98
Praia,8,CV,1610939286,78,14.9215,-23.5087,69.8,11.5
Kitob,98,UZ,1610939286,49,39.0843,66.8332,42.8,4.61
Maghār,55,IL,1610939287,77,32.8898,35.407,55.99,6.93
Kahului,90,US,1610938861,88,20.8947,-156.47,73.4,6.91
Trnava,75,SK,1610939287,85,48.3774,17.5872,16.0,2.3
Den Helder,75,NL,1610939288,93,52.9599,4.7593,42.01,10.36
Fairbanks,1,US,1610938960,85,64.8378,-147.7164,1.4,2.62
Estelle,1,US,1610939288,58,29.8458,-90.1067,52.0,5.75
Markova,88,UA,1610939288,93,48.6758,24.4138,10.0,6.13
Coihueco,0,CL,1610939119,49,-36.6167,-71.8333,71.6,13.8
Pāsighāt,0,IN,1610939289,40,28.0667,95.3333,71.33,0.31
Salinas,1,US,1610939067,59,36.6777,-121.6555,60.8,6.91
Chivilcoy,0,AR,1610939289,81,-34.8957,-60.0167,59.0,5.86
Beloha,84,MG,1610939083,76,-25.1667,45.05,75.63,4.85
Isangel,75,VU,1610939077,74,-19.55,169.2667,87.8,5.75
Jiayuguan City,0,CN,1610939289,74,39.8167,98.3,22.35,3.2
Luanda,20,AO,1610939051,83,-8.8368,13.2343,77.0,4.61
Denton,1,US,1610939047,52,33.2001,-97.1336,48.99,5.48
Sesimbra,0,PT,1610939290,81,38.4445,-9.1015,48.0,8.1
Marsh Harbour,100,BS,1610939119,67,26.5412,-77.0636,66.65,16.2
Jiangkou,0,CN,1610939290,53,25.4872,119.1986,50.0,8.95
Hazorasp,100,UZ,1610939290,80,41.3194,61.0742,28.4,4.61
Lucea,20,JM,1610939291,73,18.451,-78.1736,78.8,8.05
Bandarbeyla,2,SO,1610939094,74,9.4942,50.8122,73.47,12.39
Mehrān,75,IR,1610939291,87,33.1222,46.1646,39.2,4.61
Dolores,0,AR,1610939291,81,-36.3132,-57.6792,56.08,6.96
Jaqué,17,PA,1610939291,83,7.5175,-78.1703,77.95,5.95
Inverell,100,AU,1610939292,70,-29.7833,151.1167,81.0,5.99
Oceanside,1,US,1610939292,25,33.1959,-117.3795,66.2,1.77
Tārānagar,0,IN,1610939292,46,28.6709,75.0351,56.44,11.88
Lüderitz,0,NA,1610939060,82,-26.6481,15.1594,62.69,8.66
Mukhen,94,RU,1610939292,85,48.1,136.1,2.59,3.42
